bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/13675791-220,220,f,Substation,f,relation/13675791,25.38682281,50.77533487,UA,POINT (25.38682281 50.77533487)
relation/13675791-330,330,f,Substation,f,relation/13675791,25.38718047,50.77548082,UA,POINT (25.38718047 50.77548082)
relation/13695570-220,220,f,Substation,f,relation/13695570,33.61050304,44.57602168,UA,POINT (33.61050304 44.57602168)
relation/13695570-330,330,f,Substation,f,relation/13695570,33.61083856,44.57614231,UA,POINT (33.61083856 44.57614231)
relation/1377432-220,220,f,Substation,f,relation/1377432,10.88155704,45.8827914,IT,POINT (10.88155704 45.8827914)
relation/13844905-380,380,f,Substation,f,relation/13844905,14.12926878,42.40348485,IT,POINT (14.12926878 42.40348485)
relation/13889505-220,220,f,Substation,f,way/245334700,17.10306294,63.1763351,SE,POINT (17.10306294 63.1763351)
relation/13889505-400,400,f,Substation,f,relation/13889505,17.10352552,63.17650588,SE,POINT (17.10352552 63.17650588)
relation/13989591-300,300,f,Substation,f,relation/13989591,5.31602259,59.31760884,NO,POINT (5.31602259 59.31760884)
relation/14921826-275,275,f,Substation,f,relation/14921826,-2.96208355,54.94245426,GB,POINT (-2.96208355 54.94245426)
relation/14921826-400,400,f,Substation,f,relation/14921826,-2.96181784,54.94267542,GB,POINT (-2.96181784 54.94267542)
relation/14939275,450,t,Substation,f,relation/14939275,14.840064437359892,56.15303706800382,SE,POINT (14.840064437359892 56.15303706800382)
relation/14939275-400,400,f,Substation,f,relation/14939275,14.84006444,56.15303707,SE,POINT (14.84006444 56.15303707)
relation/15436115-220,220,f,Substation,f,relation/15436115,28.41503938,64.5911602,FI,POINT (28.41503938 64.5911602)
relation/15654150-220,220,f,Substation,f,relation/15654150,14.84730531,62.46048882,SE,POINT (14.84730531 62.46048882)
relation/15657009-400,400,f,Substation,f,relation/15657009,14.67733075,62.4933842,SE,POINT (14.67733075 62.4933842)
relation/15657011-220,220,f,Substation,f,relation/15657007,14.62774915,62.48925717,SE,POINT (14.62774915 62.48925717)
relation/15657011-400,400,f,Substation,f,relation/15657007,14.62818681,62.48943528,SE,POINT (14.62818681 62.48943528)
